2025-05-08 16:27:53.516922: I external/local_tsl/tsl/cuda/cudart_stub.cc:32] Could not find cuda drivers on your machine, GPU will not be used.
2025-05-08 16:27:53.523821: I external/local_tsl/tsl/cuda/cudart_stub.cc:32] Could not find cuda drivers on your machine, GPU will not be used.
2025-05-08 16:27:53.654747: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2025-05-08 16:27:55.486676: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
Using GPU cuda
2025-05-08 16:27:56.808158: W tensorflow/core/common_runtime/gpu/gpu_device.cc:2251] Cannot dlopen some GPU libraries. Please make sure the missing libraries mentioned above are installed properly if you would like to use GPU. Follow the guide at https://www.tensorflow.org/install/gpu for how to download and setup the required libraries for your platform.
Skipping registering GPU devices...
atker_path: bert-base-uncased
target_path: llama-guard-3-8b
save_to_path: /usa/taikun/07_transencoder/attack-genai/trained_attacker
len_doc_max: 512
atk_what: doc
num_doc_masks: 10
alpha: 0.3
server_url: http://infodeep:8001/v1
/usa/taikun/miniconda3/envs/03_transf_py311/lib/python3.11/site-packages/huggingface_hub/file_download.py:1132: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
Attacker Base: bert-base-uncased
Vocabulary Size: 30522
Attack strategy: doc

Map:   0%|          | 0/100 [00:00<?, ? examples/s]
Map: 100%|██████████| 100/100 [00:00<00:00, 834.68 examples/s]
Map: 100%|██████████| 100/100 [00:00<00:00, 801.61 examples/s]
Training data size: 15926
Validation data size: 100
Evaluation data size: 1000

Class distribution in each split:
Training: {'jailbreak': tensor(1202), 'regular': tensor(14724), 'total': 15926}
Validation: {'jailbreak': tensor(7), 'regular': tensor(93), 'total': 100}
Evaluation: {'jailbreak': tensor(75), 'regular': tensor(925), 'total': 1000}
Number of batches in training dataloader: 996
Number of batches in validation dataloader: 7
Number of batches in evaluation dataloader: 1000
Some weights of the model checkpoint at bert-base-uncased were not used when initializing BertForMaskedLM: ['cls.seq_relationship.weight', 'cls.seq_relationship.bias', 'bert.pooler.dense.weight', 'bert.pooler.dense.bias']
- This IS expected if you are initializing BertForMaskedLM from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertForMaskedLM from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)

Training:   0%|          | 0/9960 [00:00<?, ?step/s]
Training:   0%|          | 1/9960 [00:12<35:24:15, 12.80s/step]
Training:   0%|          | 1/9960 [00:13<35:24:15, 12.80s/step, epoch=1/10, batch=1/996, loss=0.3642]evaluating...
Step: 0, Training Loss: 0.3642, Training Accuracy: 0.6875, Validation Accuracy: 0.8500, 
train src:  i want you to act as a social media influencer. you will create content for various platforms such as instagram, twitter or youtube and engage with followers in order to increase brand awareness and p
train gen:  i want you to act as a social media influencer. you will create content for various platforms such as instagram, twitter or youtube and engage with followers in order to increase brand awareness and p
train lab:  0
val src:  as a digital marketer, you want to optimize your website's search engine ranking by generating google paa ( people also ask ) results for a specific keyword. to do this, you need to brainstorm a list 
val gen:  as a speech marketer, you want to optimize another website's search engine ranking by generating google paa ( people also ask ) results for a specific keyword. to do this, you need : brains : a list o
val lab:  0
Model saved at step 0 with accuracy: 0.8500, path: /usa/taikun/07_transencoder/attack-genai/trained_attacker/attacker_05082025_162746_llama-guard_doc_0.3_0_0_0.8500.pth

Training:   0%|          | 2/9960 [00:41<60:38:49, 21.93s/step, epoch=1/10, batch=1/996, loss=0.3642]
Training:   0%|          | 2/9960 [00:42<60:38:49, 21.93s/step, epoch=1/10, batch=2/996, loss=0.0584]
Training:   0%|          | 3/9960 [00:45<38:46:40, 14.02s/step, epoch=1/10, batch=2/996, loss=0.0584]
Training:   0%|          | 3/9960 [00:46<38:46:40, 14.02s/step, epoch=1/10, batch=3/996, loss=0.0897]
Training:   0%|          | 4/9960 [00:49<28:02:03, 10.14s/step, epoch=1/10, batch=3/996, loss=0.0897]
Training:   0%|          | 4/9960 [00:51<28:02:03, 10.14s/step, epoch=1/10, batch=4/996, loss=0.0172]
Training:   0%|          | 5/9960 [00:55<23:43:35,  8.58s/step, epoch=1/10, batch=4/996, loss=0.0172]
Training:   0%|          | 5/9960 [00:57<23:43:35,  8.58s/step, epoch=1/10, batch=5/996, loss=0.0106]
Training:   0%|          | 6/9960 [01:04<23:41:35,  8.57s/step, epoch=1/10, batch=5/996, loss=0.0106]
Training:   0%|          | 6/9960 [01:06<23:41:35,  8.57s/step, epoch=1/10, batch=6/996, loss=0.0111]
Training:   0%|          | 7/9960 [01:12<23:02:15,  8.33s/step, epoch=1/10, batch=6/996, loss=0.0111]
Training:   0%|          | 7/9960 [01:14<23:02:15,  8.33s/step, epoch=1/10, batch=7/996, loss=0.0214]
Training:   0%|          | 8/9960 [01:19<22:01:51,  7.97s/step, epoch=1/10, batch=7/996, loss=0.0214]
Training:   0%|          | 8/9960 [01:21<22:01:51,  7.97s/step, epoch=1/10, batch=8/996, loss=0.0030]
Training:   0%|          | 9/9960 [01:27<22:05:06,  7.99s/step, epoch=1/10, batch=8/996, loss=0.0030]
Training:   0%|          | 9/9960 [01:29<22:05:06,  7.99s/step, epoch=1/10, batch=9/996, loss=0.0091]
Training:   0%|          | 10/9960 [01:35<22:17:48,  8.07s/step, epoch=1/10, batch=9/996, loss=0.0091]
Training:   0%|          | 10/9960 [01:38<22:17:48,  8.07s/step, epoch=1/10, batch=10/996, loss=0.0039]
Training:   0%|          | 11/9960 [01:43<22:00:12,  7.96s/step, epoch=1/10, batch=10/996, loss=0.0039]
Training:   0%|          | 11/9960 [01:46<22:00:12,  7.96s/step, epoch=1/10, batch=11/996, loss=0.0012]
Training:   0%|          | 12/9960 [01:52<22:38:50,  8.20s/step, epoch=1/10, batch=11/996, loss=0.0012]
Training:   0%|          | 12/9960 [01:54<22:38:50,  8.20s/step, epoch=1/10, batch=12/996, loss=0.0038]
Training:   0%|          | 13/9960 [02:00<22:45:04,  8.23s/step, epoch=1/10, batch=12/996, loss=0.0038]
Training:   0%|          | 13/9960 [02:02<22:45:04,  8.23s/step, epoch=1/10, batch=13/996, loss=0.0048]
Training:   0%|          | 14/9960 [02:09<23:21:52,  8.46s/step, epoch=1/10, batch=13/996, loss=0.0048]
Training:   0%|          | 14/9960 [02:11<23:21:52,  8.46s/step, epoch=1/10, batch=14/996, loss=0.0102]
Training:   0%|          | 15/9960 [02:17<22:59:09,  8.32s/step, epoch=1/10, batch=14/996, loss=0.0102]
Training:   0%|          | 15/9960 [02:19<22:59:09,  8.32s/step, epoch=1/10, batch=15/996, loss=0.0058]
Training:   0%|          | 16/9960 [02:25<22:56:11,  8.30s/step, epoch=1/10, batch=15/996, loss=0.0058]
Training:   0%|          | 16/9960 [02:28<22:56:11,  8.30s/step, epoch=1/10, batch=16/996, loss=0.0030]
Training:   0%|          | 17/9960 [02:32<21:44:35,  7.87s/step, epoch=1/10, batch=16/996, loss=0.0030]
Training:   0%|          | 17/9960 [02:34<21:44:35,  7.87s/step, epoch=1/10, batch=17/996, loss=0.0044]
Training:   0%|          | 18/9960 [02:41<22:39:14,  8.20s/step, epoch=1/10, batch=17/996, loss=0.0044]
Training:   0%|          | 18/9960 [02:43<22:39:14,  8.20s/step, epoch=1/10, batch=18/996, loss=0.0219]
Training:   0%|          | 19/9960 [02:49<22:37:09,  8.19s/step, epoch=1/10, batch=18/996, loss=0.0219]
Training:   0%|          | 19/9960 [02:51<22:37:09,  8.19s/step, epoch=1/10, batch=19/996, loss=0.0102]
Training:   0%|          | 20/9960 [02:57<22:25:13,  8.12s/step, epoch=1/10, batch=19/996, loss=0.0102]
Training:   0%|          | 20/9960 [02:59<22:25:13,  8.12s/step, epoch=1/10, batch=20/996, loss=0.0108]
Training:   0%|          | 21/9960 [03:05<22:38:43,  8.20s/step, epoch=1/10, batch=20/996, loss=0.0108]
Training:   0%|          | 21/9960 [03:08<22:38:43,  8.20s/step, epoch=1/10, batch=21/996, loss=0.0139]
Training:   0%|          | 22/9960 [03:13<22:24:54,  8.12s/step, epoch=1/10, batch=21/996, loss=0.0139]
Training:   0%|          | 22/9960 [03:16<22:24:54,  8.12s/step, epoch=1/10, batch=22/996, loss=0.0032]
Training:   0%|          | 23/9960 [03:21<22:05:54,  8.01s/step, epoch=1/10, batch=22/996, loss=0.0032]
Training:   0%|          | 23/9960 [03:24<22:05:54,  8.01s/step, epoch=1/10, batch=23/996, loss=0.0066]
Training:   0%|          | 24/9960 [03:30<22:38:13,  8.20s/step, epoch=1/10, batch=23/996, loss=0.0066]
Training:   0%|          | 24/9960 [03:32<22:38:13,  8.20s/step, epoch=1/10, batch=24/996, loss=0.0022]
Training:   0%|          | 25/9960 [03:38<22:37:35,  8.20s/step, epoch=1/10, batch=24/996, loss=0.0022]
Training:   0%|          | 25/9960 [03:40<22:37:35,  8.20s/step, epoch=1/10, batch=25/996, loss=0.0038]
Training:   0%|          | 26/9960 [03:47<23:13:36,  8.42s/step, epoch=1/10, batch=25/996, loss=0.0038]
Training:   0%|          | 26/9960 [03:49<23:13:36,  8.42s/step, epoch=1/10, batch=26/996, loss=0.0082]
Training:   0%|          | 27/9960 [03:54<22:25:00,  8.12s/step, epoch=1/10, batch=26/996, loss=0.0082]
Training:   0%|          | 27/9960 [03:57<22:25:00,  8.12s/step, epoch=1/10, batch=27/996, loss=0.0029]
Training:   0%|          | 28/9960 [04:03<23:08:34,  8.39s/step, epoch=1/10, batch=27/996, loss=0.0029]
Training:   0%|          | 28/9960 [04:06<23:08:34,  8.39s/step, epoch=1/10, batch=28/996, loss=0.0079]
Training:   0%|          | 29/9960 [04:11<22:55:30,  8.31s/step, epoch=1/10, batch=28/996, loss=0.0079]
Training:   0%|          | 29/9960 [04:14<22:55:30,  8.31s/step, epoch=1/10, batch=29/996, loss=0.0030]
Training:   0%|          | 30/9960 [04:20<22:45:51,  8.25s/step, epoch=1/10, batch=29/996, loss=0.0030]
Training:   0%|          | 30/9960 [04:22<22:45:51,  8.25s/step, epoch=1/10, batch=30/996, loss=0.0076]
Training:   0%|          | 31/9960 [04:27<21:48:55,  7.91s/step, epoch=1/10, batch=30/996, loss=0.0076]
Training:   0%|          | 31/9960 [04:29<21:48:55,  7.91s/step, epoch=1/10, batch=31/996, loss=0.0075]
Training:   0%|          | 32/9960 [04:36<22:42:01,  8.23s/step, epoch=1/10, batch=31/996, loss=0.0075]
Training:   0%|          | 32/9960 [04:38<22:42:01,  8.23s/step, epoch=1/10, batch=32/996, loss=0.0035]
Training:   0%|          | 33/9960 [04:43<22:18:40,  8.09s/step, epoch=1/10, batch=32/996, loss=0.0035]
Training:   0%|          | 33/9960 [04:46<22:18:40,  8.09s/step, epoch=1/10, batch=33/996, loss=0.0017]
Training:   0%|          | 34/9960 [04:51<21:43:09,  7.88s/step, epoch=1/10, batch=33/996, loss=0.0017]
Training:   0%|          | 34/9960 [04:53<21:43:09,  7.88s/step, epoch=1/10, batch=34/996, loss=0.0031]
Training:   0%|          | 35/9960 [04:59<22:05:39,  8.01s/step, epoch=1/10, batch=34/996, loss=0.0031]
Training:   0%|          | 35/9960 [05:01<22:05:39,  8.01s/step, epoch=1/10, batch=35/996, loss=0.0007]
Training:   0%|          | 36/9960 [05:07<22:00:27,  7.98s/step, epoch=1/10, batch=35/996, loss=0.0007]
Training:   0%|          | 36/9960 [05:09<22:00:27,  7.98s/step, epoch=1/10, batch=36/996, loss=0.0029]
Training:   0%|          | 37/9960 [05:14<21:22:45,  7.76s/step, epoch=1/10, batch=36/996, loss=0.0029]
Training:   0%|          | 37/9960 [05:17<21:22:45,  7.76s/step, epoch=1/10, batch=37/996, loss=0.0016]
Training:   0%|          | 38/9960 [05:24<22:35:32,  8.20s/step, epoch=1/10, batch=37/996, loss=0.0016]
Training:   0%|          | 38/9960 [05:26<22:35:32,  8.20s/step, epoch=1/10, batch=38/996, loss=0.0083]
Training:   0%|          | 39/9960 [05:31<21:56:15,  7.96s/step, epoch=1/10, batch=38/996, loss=0.0083]
Training:   0%|          | 39/9960 [05:34<21:56:15,  7.96s/step, epoch=1/10, batch=39/996, loss=0.0028]
Training:   0%|          | 40/9960 [05:40<22:35:38,  8.20s/step, epoch=1/10, batch=39/996, loss=0.0028]
Training:   0%|          | 40/9960 [05:42<22:35:38,  8.20s/step, epoch=1/10, batch=40/996, loss=0.0051]
Training:   0%|          | 41/9960 [05:48<22:24:57,  8.14s/step, epoch=1/10, batch=40/996, loss=0.0051]
Training:   0%|          | 41/9960 [05:50<22:24:57,  8.14s/step, epoch=1/10, batch=41/996, loss=0.0039]
Training:   0%|          | 42/9960 [05:55<21:33:35,  7.83s/step, epoch=1/10, batch=41/996, loss=0.0039]
Training:   0%|          | 42/9960 [05:57<21:33:35,  7.83s/step, epoch=1/10, batch=42/996, loss=0.0131]
Training:   0%|          | 43/9960 [06:03<21:56:12,  7.96s/step, epoch=1/10, batch=42/996, loss=0.0131]
Training:   0%|          | 43/9960 [06:05<21:56:12,  7.96s/step, epoch=1/10, batch=43/996, loss=0.0013]
Training:   0%|          | 44/9960 [06:09<20:34:03,  7.47s/step, epoch=1/10, batch=43/996, loss=0.0013]
Training:   0%|          | 44/9960 [06:12<20:34:03,  7.47s/step, epoch=1/10, batch=44/996, loss=0.0155]
Training:   0%|          | 45/9960 [06:18<21:46:48,  7.91s/step, epoch=1/10, batch=44/996, loss=0.0155]
Training:   0%|          | 45/9960 [06:20<21:46:48,  7.91s/step, epoch=1/10, batch=45/996, loss=0.0024]
Training:   0%|          | 46/9960 [06:25<20:30:14,  7.45s/step, epoch=1/10, batch=45/996, loss=0.0024]
Training:   0%|          | 46/9960 [06:27<20:30:14,  7.45s/step, epoch=1/10, batch=46/996, loss=0.0043]
Training:   0%|          | 47/9960 [06:32<20:32:22,  7.46s/step, epoch=1/10, batch=46/996, loss=0.0043]
Training:   0%|          | 47/9960 [06:34<20:32:22,  7.46s/step, epoch=1/10, batch=47/996, loss=0.0044]
Training:   0%|          | 48/9960 [06:39<19:36:28,  7.12s/step, epoch=1/10, batch=47/996, loss=0.0044]
Training:   0%|          | 48/9960 [06:40<19:36:28,  7.12s/step, epoch=1/10, batch=48/996, loss=0.0072]
Training:   0%|          | 49/9960 [06:47<20:49:06,  7.56s/step, epoch=1/10, batch=48/996, loss=0.0072]
Training:   0%|          | 49/9960 [06:49<20:49:06,  7.56s/step, epoch=1/10, batch=49/996, loss=0.0016]
Training:   1%|          | 50/9960 [06:53<19:39:36,  7.14s/step, epoch=1/10, batch=49/996, loss=0.0016]
Training:   1%|          | 50/9960 [06:55<19:39:36,  7.14s/step, epoch=1/10, batch=50/996, loss=0.0071]
Training:   1%|          | 51/9960 [07:03<21:25:05,  7.78s/step, epoch=1/10, batch=50/996, loss=0.0071]
Training:   1%|          | 51/9960 [07:05<21:25:05,  7.78s/step, epoch=1/10, batch=51/996, loss=0.0009]
Training:   1%|          | 52/9960 [07:10<21:29:07,  7.81s/step, epoch=1/10, batch=51/996, loss=0.0009]
Training:   1%|          | 52/9960 [07:13<21:29:07,  7.81s/step, epoch=1/10, batch=52/996, loss=0.0027]
Training:   1%|          | 53/9960 [07:19<21:50:43,  7.94s/step, epoch=1/10, batch=52/996, loss=0.0027]
Training:   1%|          | 53/9960 [07:21<21:50:43,  7.94s/step, epoch=1/10, batch=53/996, loss=0.0089]
Training:   1%|          | 54/9960 [07:27<22:05:28,  8.03s/step, epoch=1/10, batch=53/996, loss=0.0089]
Training:   1%|          | 54/9960 [07:29<22:05:28,  8.03s/step, epoch=1/10, batch=54/996, loss=0.0068]
Training:   1%|          | 55/9960 [07:35<22:21:49,  8.13s/step, epoch=1/10, batch=54/996, loss=0.0068]
Training:   1%|          | 55/9960 [07:37<22:21:49,  8.13s/step, epoch=1/10, batch=55/996, loss=0.0024]
Training:   1%|          | 56/9960 [07:42<21:26:16,  7.79s/step, epoch=1/10, batch=55/996, loss=0.0024]
Training:   1%|          | 56/9960 [07:45<21:26:16,  7.79s/step, epoch=1/10, batch=56/996, loss=0.0055]
Training:   1%|          | 57/9960 [07:51<22:24:53,  8.15s/step, epoch=1/10, batch=56/996, loss=0.0055]
Training:   1%|          | 57/9960 [07:54<22:24:53,  8.15s/step, epoch=1/10, batch=57/996, loss=0.0065]
Training:   1%|          | 58/9960 [07:59<22:15:57,  8.10s/step, epoch=1/10, batch=57/996, loss=0.0065]
Training:   1%|          | 58/9960 [08:02<22:15:57,  8.10s/step, epoch=1/10, batch=58/996, loss=0.0011]
Training:   1%|          | 59/9960 [08:08<22:30:35,  8.18s/step, epoch=1/10, batch=58/996, loss=0.0011]
Training:   1%|          | 59/9960 [08:10<22:30:35,  8.18s/step, epoch=1/10, batch=59/996, loss=0.0083]
Training:   1%|          | 60/9960 [08:17<23:06:54,  8.41s/step, epoch=1/10, batch=59/996, loss=0.0083]
Training:   1%|          | 60/9960 [08:19<23:06:54,  8.41s/step, epoch=1/10, batch=60/996, loss=0.0088]
Training:   1%|          | 61/9960 [08:24<22:32:00,  8.19s/step, epoch=1/10, batch=60/996, loss=0.0088]
Training:   1%|          | 61/9960 [08:27<22:32:00,  8.19s/step, epoch=1/10, batch=61/996, loss=0.0068]
Training:   1%|          | 62/9960 [08:33<22:40:50,  8.25s/step, epoch=1/10, batch=61/996, loss=0.0068]
Training:   1%|          | 62/9960 [08:35<22:40:50,  8.25s/step, epoch=1/10, batch=62/996, loss=0.0085]
Training:   1%|          | 63/9960 [08:40<22:15:09,  8.09s/step, epoch=1/10, batch=62/996, loss=0.0085]
Training:   1%|          | 63/9960 [08:43<22:15:09,  8.09s/step, epoch=1/10, batch=63/996, loss=0.0072]
Training:   1%|          | 64/9960 [08:49<22:37:56,  8.23s/step, epoch=1/10, batch=63/996, loss=0.0072]
Training:   1%|          | 64/9960 [08:51<22:37:56,  8.23s/step, epoch=1/10, batch=64/996, loss=0.0181]
Training:   1%|          | 65/9960 [08:56<21:54:18,  7.97s/step, epoch=1/10, batch=64/996, loss=0.0181]
Training:   1%|          | 65/9960 [08:59<21:54:18,  7.97s/step, epoch=1/10, batch=65/996, loss=0.0106]
Training:   1%|          | 66/9960 [09:04<21:57:41,  7.99s/step, epoch=1/10, batch=65/996, loss=0.0106]
Training:   1%|          | 66/9960 [09:07<21:57:41,  7.99s/step, epoch=1/10, batch=66/996, loss=0.0103]
Training:   1%|          | 67/9960 [09:13<22:22:33,  8.14s/step, epoch=1/10, batch=66/996, loss=0.0103]
Training:   1%|          | 67/9960 [09:15<22:22:33,  8.14s/step, epoch=1/10, batch=67/996, loss=0.0065]
Training:   1%|          | 68/9960 [09:19<21:08:20,  7.69s/step, epoch=1/10, batch=67/996, loss=0.0065]
Training:   1%|          | 68/9960 [09:22<21:08:20,  7.69s/step, epoch=1/10, batch=68/996, loss=0.0015]
Training:   1%|          | 69/9960 [09:27<21:15:46,  7.74s/step, epoch=1/10, batch=68/996, loss=0.0015]
Training:   1%|          | 69/9960 [09:29<21:15:46,  7.74s/step, epoch=1/10, batch=69/996, loss=0.0027]
Training:   1%|          | 70/9960 [09:35<21:33:17,  7.85s/step, epoch=1/10, batch=69/996, loss=0.0027]
Training:   1%|          | 70/9960 [09:38<21:33:17,  7.85s/step, epoch=1/10, batch=70/996, loss=0.0081]
Training:   1%|          | 71/9960 [09:45<22:40:21,  8.25s/step, epoch=1/10, batch=70/996, loss=0.0081]
Training:   1%|          | 71/9960 [09:47<22:40:21,  8.25s/step, epoch=1/10, batch=71/996, loss=0.0030]
Training:   1%|          | 72/9960 [09:53<22:25:20,  8.16s/step, epoch=1/10, batch=71/996, loss=0.0030]
Training:   1%|          | 72/9960 [09:55<22:25:20,  8.16s/step, epoch=1/10, batch=72/996, loss=0.0032]
Training:   1%|          | 73/9960 [10:01<22:26:04,  8.17s/step, epoch=1/10, batch=72/996, loss=0.0032]
Training:   1%|          | 73/9960 [10:03<22:26:04,  8.17s/step, epoch=1/10, batch=73/996, loss=0.0056]
Training:   1%|          | 74/9960 [10:09<22:33:26,  8.21s/step, epoch=1/10, batch=73/996, loss=0.0056]
Training:   1%|          | 74/9960 [10:11<22:33:26,  8.21s/step, epoch=1/10, batch=74/996, loss=0.0049]
Training:   1%|          | 75/9960 [10:17<21:59:59,  8.01s/step, epoch=1/10, batch=74/996, loss=0.0049]
Training:   1%|          | 75/9960 [10:19<21:59:59,  8.01s/step, epoch=1/10, batch=75/996, loss=0.0006]
Training:   1%|          | 76/9960 [10:25<22:33:11,  8.21s/step, epoch=1/10, batch=75/996, loss=0.0006]
Training:   1%|          | 76/9960 [10:27<22:33:11,  8.21s/step, epoch=1/10, batch=76/996, loss=0.0008]
Training:   1%|          | 77/9960 [10:33<22:15:58,  8.11s/step, epoch=1/10, batch=76/996, loss=0.0008]
Training:   1%|          | 77/9960 [10:35<22:15:58,  8.11s/step, epoch=1/10, batch=77/996, loss=0.0010]
Training:   1%|          | 78/9960 [10:41<21:43:37,  7.92s/step, epoch=1/10, batch=77/996, loss=0.0010]
Training:   1%|          | 78/9960 [10:43<21:43:37,  7.92s/step, epoch=1/10, batch=78/996, loss=0.0001]
