
Querying Entries:   0%|          | 0/100 [00:00<?, ?entry/s]
Querying Entries:   0%|          | 0/100 [00:14<?, ?entry/s, AdvAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:   1%|          | 1/100 [00:15<25:46, 15.62s/entry, AdvAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:   1%|          | 1/100 [00:30<25:46, 15.62s/entry, AdvAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:   2%|▏         | 2/100 [00:31<25:29, 15.60s/entry, AdvAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:   2%|▏         | 2/100 [00:55<25:29, 15.60s/entry, AdvAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:   3%|▎         | 3/100 [00:56<32:18, 19.99s/entry, AdvAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:   3%|▎         | 3/100 [01:07<32:18, 19.99s/entry, AdvAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:   4%|▍         | 4/100 [01:08<26:45, 16.72s/entry, AdvAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:   4%|▍         | 4/100 [01:18<26:45, 16.72s/entry, AdvAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:   5%|▌         | 5/100 [01:19<23:16, 14.70s/entry, AdvAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:   5%|▌         | 5/100 [01:35<23:16, 14.70s/entry, AdvAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:   6%|▌         | 6/100 [01:36<24:12, 15.46s/entry, AdvAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:   6%|▌         | 6/100 [01:48<24:12, 15.46s/entry, AdvAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:   7%|▋         | 7/100 [01:49<23:06, 14.91s/entry, AdvAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:   7%|▋         | 7/100 [02:08<23:06, 14.91s/entry, AdvAcc: (gpt4o: 12.5% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:   8%|▊         | 8/100 [02:09<25:11, 16.43s/entry, AdvAcc: (gpt4o: 12.5% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:   8%|▊         | 8/100 [02:36<25:11, 16.43s/entry, AdvAcc: (gpt4o: 11.1% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:   9%|▉         | 9/100 [02:37<30:14, 19.94s/entry, AdvAcc: (gpt4o: 11.1% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:   9%|▉         | 9/100 [03:16<30:14, 19.94s/entry, AdvAcc: (gpt4o: 10.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  10%|█         | 10/100 [03:17<39:23, 26.27s/entry, AdvAcc: (gpt4o: 10.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  10%|█         | 10/100 [03:27<39:23, 26.27s/entry, AdvAcc: (gpt4o: 9.1% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)] 
